"","region","uid","wtp_new","wtp_second","wtp_bio","wtp_recycle","wtp_workers","female","age","people_living","education","income","i_clothes_fashion","i_clothes_versatile","i_clothes_need","i_clothes_size","i_clothes_fit","i_clothes_easy","i_clothes_quality","i_clothes_cheap","i_clothes_value","i_clothes_know","i_clothes_prestigious","i_clothes_environment","second_stuff_dummy","bio_item_dummy","second_clothes_dummy","bio_clothes_dummy","second_precovid","second_covid","second_postcovid","bio_postcovid","bioc_covid","bio_precovid","no_second_app","no_second_quality","no_second_shop","no_second_environment","no_second_clean","no_second_size","no_second_fashion","bio_eco","bio_vintage","bio_quality","bio_pollution","bio_peer","no_bio_app","no_bio_expensive","no_bio_shop","no_bio_environment","no_bio_rare","no_bio_style","no_bio_fashion","no_bio_quality","poll_chemical_synt","poll_chemical_nat","poll_dye","poll_water","poll_biodegradable","pro_recycle","pro_label","pro_brown_firms","pro_packaging","pro_pub_transport","pro_pack_reuse","pro_donation","pro_reuse","pro_second_clothes","pro_label_clothes","pro_temp_clothes","pro_quality_clothes","pro_bio1_clothes","pro_bio2_clothes","wtp_cert_quality","wtp_cert_bio","wtp_cert_recycle","wtp_cert_workers","wtp_cert_workers_env","sustainable_sector","sustainable_phases","second_eco","second_vintage","second_quality","second_endlife","second_pollution","second_peer","sustainable_fashion_item1","sustainable_fashion_item2","sustainable_fashion_item3","sustainable_fashion_item4","location","status","population_2023","km2","pop_density_p_km2","HDI_2022","capital","political_party","political_wing","president_2024","n_comunes","n_provinces"
"11","Abruzzo","f545fa74-f87f-488f-a0e2-c2f750e5f912",5,2,6,4,5,"Male",67,3,"Postsecondary education","Preferisco non rispondere","Not at all","Slightly","Slightly","Important","Important","Moderately","Important","Moderately","Important","Moderately","Moderately","Important","No","Yes","No","Yes","","","","Rarely","Never","Rarely","Not at all","Moderately","Slightly","Important","Important","Very important","Moderately","Not at all","Not at all","Not at all","Important","Not at all","","","","","","","","","Agree","Agree","Agree","Agree","Agree","Never","Often","Often","Sometimes","Sometimes","Sometimes","Sometimes","Often","Never","Often","Never","Rarely","Rarely","Sometimes","Nothing","Little amount","Little amount","Pay enough","Pay enough","Environment","Production","","","","","","",2,3,3,3,"south","Ordinary","1307000","10,832 ","118","0.889","L'Aquila","Brothers of Italy","right","Marco Marsilio","305","4"
"12","Abruzzo","b42aadfa-cc9c-4596-852d-97d5b212a7f1",10,5,10,7,10,"Male",20,4,"Secondary school","15000€-30000€","Slightly","Important","Important","Very important","Very important","Important","Important","Important","Important","Not at all","Not at all","Moderately","Yes","No","Yes","Yes","Rarely","Rarely","Rarely","Rarely","Rarely","Rarely","","","","","","","","Important","Moderately","Important","Very important","Slightly","","","","","","","","","Disagree","Agree","Undecided","Agree","Agree","Often","Sometimes","Often","Often","Often","Sometimes","Rarely","Sometimes","Rarely","Rarely","Sometimes","Always","Sometimes","Sometimes","Pay enough","Pay enough","Little amount","Large amount","Large amount","Society","Delivery","Important","Moderately","Moderately","Important","Very important","Slightly",8,9,7,8,"south","Ordinary","1307000","10,832 ","118","0.889","L'Aquila","Brothers of Italy","right","Marco Marsilio","305","4"
"13","Abruzzo","139c7f33-12bc-4cb6-8b73-18935177c6a5",12,8,18,15,18,"Male",27,3,"Postsecondary education","45000€-60000€","Slightly","Moderately","Very important","Very important","Very important","Important","Very important","Important","Very important","Slightly","Slightly","Important","Yes","Yes","Yes","Yes","Sometimes","Rarely","Sometimes","Often","Sometimes","Often","","","","","","","","Slightly","Slightly","Moderately","Very important","Slightly","","","","","","","","","Agree","Undecided","Agree","Strongly agree","Agree","Always","Always","Often","Always","Always","Often","Sometimes","Often","Sometimes","Often","Often","Often","Often","Often","Little amount","Pay enough","Pay enough","Pay enough","Pay enough","All items","All items","Moderately","Important","Important","Moderately","Important","Slightly",7,7,7,9,"south","Ordinary","1307000","10,832 ","118","0.889","L'Aquila","Brothers of Italy","right","Marco Marsilio","305","4"
"14","Abruzzo","fee47c48-3c2a-43c1-abd0-7ad53c95e23a",9,4,12,10,8,"Male",25,5,"Postsecondary education","0-15000€","Important","Important","Important","Important","Important","Moderately","Moderately","Slightly","Very important","Slightly","Slightly","Moderately","Yes","Yes","No","Yes","","","","Often","Rarely","Often","Not at all","Not at all","Slightly","Moderately","Important","Slightly","Important","Important","Slightly","Important","Important","Slightly","","","","","","","","","Agree","Disagree","Agree","Agree","Disagree","Often","Sometimes","Sometimes","Always","Rarely","Often","Rarely","Often","Often","Rarely","Often","Often","Often","Often","Pay enough","Pay enough","Pay enough","Pay enough","Little amount","Environment","Delivery","","","","","","",5,8,5,9,"south","Ordinary","1307000","10,832 ","118","0.889","L'Aquila","Brothers of Italy","right","Marco Marsilio","305","4"
"15","Abruzzo","e8072eaa-19d1-4633-9b11-514a110a0737",25,1,40,35,30,"Male",28,5,"PhD","45000€-60000€","Moderately","Moderately","Moderately","Moderately","Moderately","Moderately","Moderately","Moderately","Moderately","Moderately","Moderately","Moderately","Yes","Yes","No","No","","","","","","","Not at all","Slightly","Moderately","Slightly","Moderately","Moderately","Moderately","","","","","","Moderately","Moderately","Important","Moderately","Slightly","Slightly","Slightly","Moderately","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Often","Often","Often","Often","Never","Rarely","Often","Often","Never","Often","Often","Often","Often","Often","Large amount","Large amount","Large amount","Large amount","Large amount","Economy","Production","","","","","","",2,10,6,8,"south","Ordinary","1307000","10,832 ","118","0.889","L'Aquila","Brothers of Italy","right","Marco Marsilio","305","4"
"16","Abruzzo","12874a31-1d4a-4331-9cf2-44568106cd15",7,3,10,10,10,"Female",29,8,"PhD","Preferisco non rispondere","Not at all","Important","Important","Very important","Important","Important","Moderately","Moderately","Very important","Not at all","Not at all","Very important","Yes","Yes","No","Yes","","","","Sometimes","Never","Rarely","Slightly","Moderately","Moderately","Slightly","Slightly","Important","Very important","Moderately","Not at all","Important","Very important","Slightly","","","","","","","","","Strongly agree","Disagree","Strongly agree","Strongly agree","Strongly agree","Often","Always","Always","Sometimes","Never","Rarely","Never","Always","Never","Often","Never","Often","Sometimes","Sometimes","Pay enough","Pay enough","Pay enough","Pay enough","Pay enough","All items","All items","","","","","","",8,9,9,9,"south","Ordinary","1307000","10,832 ","118","0.889","L'Aquila","Brothers of Italy","right","Marco Marsilio","305","4"
"17","Abruzzo","84df8ef3-7dc1-4061-9a9d-7174065127ef",5,3,7,7,7,"Female",27,6,"Postsecondary education","15000€-30000€","Moderately","Important","Very important","Very important","Important","Important","Important","Moderately","Important","Not at all","Not at all","Slightly","No","Yes","No","Yes","","","","Sometimes","Never","Sometimes","Slightly","Moderately","Important","Slightly","Very important","Important","Important","Not at all","Not at all","Moderately","Moderately","Not at all","","","","","","","","","Agree","Strongly disagree","Agree","Strongly agree","Agree","Always","Rarely","Rarely","Sometimes","Sometimes","Often","Never","Often","Never","Rarely","Rarely","Often","Sometimes","Rarely","Little amount","Pay enough","Pay enough","Pay enough","Pay enough","All items","All items","","","","","","",9,9,9,9,"south","Ordinary","1307000","10,832 ","118","0.889","L'Aquila","Brothers of Italy","right","Marco Marsilio","305","4"
"18","Abruzzo","f125f590-0095-4d8b-a9da-7eabb740cec3",20,5,20,20,30,"Female",60,2,"Postsecondary education","60000€-75000€","Slightly","Slightly","Important","Important","Moderately","Slightly","Slightly","Slightly","Slightly","Slightly","Slightly","Slightly","Yes","Yes","Yes","Yes","Rarely","Never","Rarely","Rarely","Never","Rarely","","","","","","","","Slightly","Slightly","Moderately","Moderately","Not at all","","","","","","","","","Undecided","Strongly disagree","Agree","Agree","Agree","Always","Sometimes","Sometimes","Sometimes","Never","Rarely","Never","Often","Rarely","Sometimes","Rarely","Rarely","Rarely","Rarely","Pay enough","Pay enough","Pay enough","Large amount","Large amount","All items","Production","Slightly","Slightly","Moderately","Moderately","Moderately","Not at all",10,1,10,10,"south","Ordinary","1307000","10,832 ","118","0.889","L'Aquila","Brothers of Italy","right","Marco Marsilio","305","4"
"19","Abruzzo","00747156-ccff-4cce-8c0a-9a4d154f961a",10,4,10,8,10,"Female",37,3,"Postsecondary education","15000€-30000€","Slightly","Important","Very important","Very important","Very important","Slightly","Important","Moderately","Very important","Not at all","Not at all","Moderately","Yes","Yes","Yes","Yes","Sometimes","Never","Rarely","Always","Rarely","Always","","","","","","","","Slightly","Not at all","Moderately","Moderately","Not at all","","","","","","","","","Strongly agree","Strongly disagree","Agree","Strongly agree","Strongly agree","Always","Sometimes","Rarely","Sometimes","Rarely","Often","Never","Always","Sometimes","Sometimes","Never","Sometimes","Often","Rarely","Pay enough","Pay enough","Little amount","Pay enough","Little amount","All items","All items","Very important","Not at all","Important","Slightly","Slightly","Not at all",6,3,7,5,"south","Ordinary","1307000","10,832 ","118","0.889","L'Aquila","Brothers of Italy","right","Marco Marsilio","305","4"
"20","Abruzzo","c68c5090-5bde-4d18-b22a-981a5227a18f",20,5,25,15,20,"Female",39,3,"Postsecondary education","Preferisco non rispondere","Moderately","Moderately","Moderately","Moderately","Important","Moderately","Important","Moderately","Moderately","Moderately","Moderately","Moderately","No","Yes","No","Yes","","","","Rarely","Rarely","Rarely","Slightly","Moderately","Moderately","Not at all","Very important","Very important","Not at all","Moderately","Moderately","Moderately","Moderately","Moderately","","","","","","","","","Undecided","Undecided","Undecided","Undecided","Undecided","Often","Often","Often","Often","Often","Often","Often","Often","Never","Often","Sometimes","Sometimes","Sometimes","Sometimes","Pay enough","Pay enough","Pay enough","Pay enough","Pay enough","All items","Design","","","","","","",7,7,7,7,"south","Ordinary","1307000","10,832 ","118","0.889","L'Aquila","Brothers of Italy","right","Marco Marsilio","305","4"
"21","Abruzzo","981da5dc-18fa-4d3c-a3db-730980d5c180",10,5,10,12,12,"Male",44,1,"Secondary school","0-15000€","Slightly","Important","Moderately","Very important","Important","Important","Important","Important","Very important","Slightly","Not at all","Not at all","Yes","No","No","Yes","","","","Rarely","Never","Rarely","Not at all","Moderately","Not at all","Not at all","Very important","Slightly","Not at all","Very important","Not at all","Very important","Slightly","Not at all","","","","","","","","","Agree","Disagree","Strongly agree","Agree","Disagree","Always","Never","Never","Sometimes","Never","Rarely","Never","Rarely","Never","Never","Often","Often","Rarely","Never","Little amount","Little amount","Little amount","Nothing","Nothing","All items","All items","","","","","","",7,2,5,7,"south","Ordinary","1307000","10,832 ","118","0.889","L'Aquila","Brothers of Italy","right","Marco Marsilio","305","4"
"22","Abruzzo","f7944470-d378-49c2-a45a-a2a10da12f9f",10,5,15,12,15,"Male",27,3,"Postsecondary education","0-15000€","Slightly","Moderately","Very important","Very important","Very important","Moderately","Important","Important","Important","Slightly","Not at all","Important","Yes","Yes","Yes","Yes","Rarely","Never","Rarely","Often","Never","Often","","","","","","","","Slightly","Slightly","Important","Important","Slightly","","","","","","","","","Agree","Undecided","Strongly agree","Agree","Agree","Always","Often","Often","Often","Always","Often","Sometimes","Sometimes","Rarely","Often","Rarely","Often","Often","Often","Pay enough","Pay enough","Pay enough","Pay enough","Pay enough","All items","All items","Moderately","Important","Important","Moderately","Moderately","Slightly",9,7,8,8,"south","Ordinary","1307000","10,832 ","118","0.889","L'Aquila","Brothers of Italy","right","Marco Marsilio","305","4"
"23","Abruzzo","b880f514-0720-4290-bc76-854e7811c877",12,5,15,15,15,"Female",52,1,"Postsecondary education","45000€-60000€","Moderately","Moderately","Moderately","Important","Important","Important","Important","Slightly","Important","Slightly","Slightly","Moderately","No","Yes","No","Yes","","","","Sometimes","Sometimes","Sometimes","Important","Moderately","Slightly","Moderately","Important","Important","Slightly","Moderately","Slightly","Moderately","Moderately","Not at all","","","","","","","","","Agree","Agree","Agree","Agree","Agree","Often","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","Rarely","Often","Often","Sometimes","Sometimes","Little amount","Pay enough","Pay enough","Pay enough","Pay enough","All items","All items","","","","","","",1,3,3,3,"south","Ordinary","1307000","10,832 ","118","0.889","L'Aquila","Brothers of Italy","right","Marco Marsilio","305","4"
"24","Abruzzo","fc4c4d46-eecd-4acf-a4c5-7ae517ac607e",7,2,10,8,8,"Female",32,4,"Postsecondary education","15000€-30000€","Slightly","Important","Important","Very important","Very important","Important","Very important","Very important","Very important","Moderately","Moderately","Important","Yes","Yes","Yes","Yes","Rarely","Never","Never","Always","Always","Always","","","","","","","","Important","Slightly","Very important","Very important","Slightly","","","","","","","","","Agree","Disagree","Agree","Strongly agree","Strongly agree","Always","Always","Often","Often","Never","Often","Never","Always","Rarely","Always","Rarely","Always","Always","Often","Little amount","Little amount","Little amount","Little amount","Little amount","Environment","All items","Slightly","Important","Very important","Important","Very important","Slightly",8,8,8,8,"south","Ordinary","1307000","10,832 ","118","0.889","L'Aquila","Brothers of Italy","right","Marco Marsilio","305","4"
"25","Abruzzo","d0b06679-5c56-4398-bc1d-93b064264c93",8,3,10,8,12,"Female",63,2,"Secondary school","15000€-30000€","Moderately","Important","Important","Important","Important","Very important","Very important","Important","Very important","Slightly","Slightly","Important","No","Yes","No","Yes","","","","Often","Often","Often","Moderately","Moderately","Important","Moderately","Very important","Not at all","Slightly","Moderately","Not at all","Very important","Important","Not at all","","","","","","","","","Strongly agree","Agree","Agree","Strongly agree","Disagree","Always","Sometimes","Sometimes","Often","Rarely","Often","Rarely","Often","Never","Often","Always","Sometimes","Always","Often","Little amount","Large amount","Pay enough","Pay enough","Pay enough","All items","Production","","","","","","",4,1,1,4,"south","Ordinary","1307000","10,832 ","118","0.889","L'Aquila","Brothers of Italy","right","Marco Marsilio","305","4"
"26","Abruzzo","3e2c3d11-dbfa-405f-981e-81a9070385c8",3,0,2,2,3,"Male",47,4,"Postsecondary education","15000€-30000€","Not at all","Important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Not at all","Not at all","Not at all","No","No","No","No","","","","","","","Moderately","Moderately","Moderately","Slightly","Very important","Moderately","Important","","","","","","Slightly","Moderately","Very important","Slightly","Moderately","Not at all","Slightly","Moderately","Agree","Agree","Agree","Agree","Agree","Always","Rarely","Never","Never","Never","Rarely","Never","Rarely","Never","Rarely","Often","Always","Never","Often","Pay enough","Large amount","Large amount","Large amount","Large amount","Environment","Production","","","","","","",1,3,1,1,"south","Ordinary","1307000","10,832 ","118","0.889","L'Aquila","Brothers of Italy","right","Marco Marsilio","305","4"
"27","Abruzzo","78e03e55-e9ea-495a-9674-3a2484f39169",12,3,12,12,15,"Male",34,4,"PhD","45000€-60000€","Moderately","Important","Very important","Very important","Very important","Moderately","Very important","Important","Very important","Moderately","Slightly","Not at all","No","Yes","No","No","","","","","","","Slightly","Moderately","Important","Slightly","Important","Important","Important","","","","","","Moderately","Important","Very important","Moderately","Moderately","Moderately","Important","Moderately","Disagree","Disagree","Agree","Strongly agree","Agree","Always","Rarely","Never","Never","Never","Never","Rarely","Never","Never","Never","Never","Often","Sometimes","Never","Little amount","Little amount","Little amount","Large amount","Large amount","All items","All items","","","","","","",9,7,7,7,"south","Ordinary","1307000","10,832 ","118","0.889","L'Aquila","Brothers of Italy","right","Marco Marsilio","305","4"
"28","Abruzzo","618c6ea4-3135-4e4e-a56e-6cb95e6e3850",10,5,10,10,12,"Male",62,5,"Postsecondary education","30000€-45000€","Important","Important","Important","Very important","Important","Important","Important","Important","Moderately","Moderately","Moderately","Important","Yes","Yes","Yes","Yes","Rarely","Never","Never","Often","Sometimes","Often","","","","","","","","Moderately","Slightly","Moderately","Moderately","Slightly","","","","","","","","","Undecided","Agree","Agree","Agree","Agree","Always","Often","Sometimes","Often","Rarely","Often","Rarely","Often","Rarely","Sometimes","Never","Often","Sometimes","Sometimes","Pay enough","Pay enough","Pay enough","Pay enough","Pay enough","All items","All items","Slightly","Not at all","Moderately","Moderately","Moderately","Slightly",8,5,5,4,"south","Ordinary","1307000","10,832 ","118","0.889","L'Aquila","Brothers of Italy","right","Marco Marsilio","305","4"
"29","Abruzzo","424c77c2-b76d-4fbe-8150-2dcae41d51ef",10,5,12,12,12,"Female",33,4,"Postsecondary education","15000€-30000€","Moderately","Important","Important","Very important","Very important","Important","Important","Important","Important","Moderately","Moderately","Slightly","No","Yes","No","No","","","","","","","Moderately","Important","Important","Slightly","Very important","Slightly","Important","","","","","","Moderately","Important","Important","Slightly","Important","Moderately","Important","Slightly","Agree","Undecided","Strongly agree","Strongly agree","Agree","Often","Often","Rarely","Often","Often","Often","Sometimes","Often","Never","Often","Always","Rarely","Rarely","Rarely","Pay enough","Pay enough","Pay enough","Pay enough","Pay enough","All items","All items","","","","","","",7,6,10,10,"south","Ordinary","1307000","10,832 ","118","0.889","L'Aquila","Brothers of Italy","right","Marco Marsilio","305","4"
"30","Abruzzo","3923f257-e024-4b02-a285-c67f587d2174",10,5,5,5,5,"Female",38,3,"Postsecondary education","30000€-45000€","Important","Important","Important","Important","Important","Important","Important","Important","Important","Important","Important","Important","No","Yes","No","No","","","","","","","Slightly","Moderately","Important","Moderately","Moderately","Important","Not at all","","","","","","Moderately","Important","Important","Important","Slightly","Slightly","Slightly","Important","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Often","Often","Often","Often","Often","Often","Often","Often","Rarely","Often","Often","Often","Sometimes","Often","Little amount","Pay enough","Pay enough","Pay enough","Pay enough","All items","All items","","","","","","",6,7,7,7,"south","Ordinary","1307000","10,832 ","118","0.889","L'Aquila","Brothers of Italy","right","Marco Marsilio","305","4"
"31","Abruzzo","243e20ff-09ab-4cc6-98e7-0702ba36d174",25,10,30,30,30,"Female",60,3,"Postsecondary education","30000€-45000€","Moderately","Important","Important","Important","Important","Very important","Very important","Moderately","Important","Not at all","Not at all","Very important","Yes","Yes","No","Yes","","","","Sometimes","Never","Sometimes","Important","Moderately","Moderately","Slightly","Very important","Moderately","Slightly","Moderately","Not at all","Moderately","Moderately","Not at all","","","","","","","","","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Always","Always","Always","Always","Often","Always","Often","Always","Never","Always","Always","Always","Often","Often","Pay enough","Pay enough","Pay enough","Pay enough","Pay enough","All items","Production","","","","","","",10,10,10,10,"south","Ordinary","1307000","10,832 ","118","0.889","L'Aquila","Brothers of Italy","right","Marco Marsilio","305","4"
