wtp_new,wtp_second,wtp_bio,wtp_recycle,wtp_workers,female,age,people_living,education,income,region,i_clothes_fashion,i_clothes_versatile,i_clothes_need,i_clothes_size,i_clothes_fit,i_clothes_easy,i_clothes_quality,i_clothes_cheap,i_clothes_value,i_clothes_know,i_clothes_prestigious,i_clothes_environment,second_stuff_dummy,bio_item_dummy,second_clothes_dummy,bio_clothes_dummy,second_precovid,second_covid,second_postcovid,bio_postcovid,bioc_covid,bio_precovid,no_second_app,no_second_quality,no_second_shop,no_second_environment,no_second_clean,no_second_size,no_second_fashion,bio_eco,bio_vintage,bio_quality,bio_pollution,bio_peer,no_bio_app,no_bio_expensive,no_bio_shop,no_bio_environment,no_bio_rare,no_bio_style,no_bio_fashion,no_bio_quality,poll_chemical_synt,poll_chemical_nat,poll_dye,poll_water,poll_biodegradable,pro_recycle,pro_label,pro_brown_firms,pro_packaging,pro_pub_transport,pro_pack_reuse,pro_donation,pro_reuse,pro_second_clothes,pro_label_clothes,pro_temp_clothes,pro_quality_clothes,pro_bio1_clothes,pro_bio2_clothes,wtp_cert_quality,wtp_cert_bio,wtp_cert_recycle,wtp_cert_workers,wtp_cert_workers_env,sustainable_sector,sustainable_phases,second_eco,second_vintage,second_quality,second_endlife,second_pollution,second_peer,sustainable_fashion_item1,sustainable_fashion_item2,sustainable_fashion_item3,sustainable_fashion_item4
10,5,15,18,15,Female,43,5,Secondary school,0-15000€,Lazio,Moderately,Very important,Moderately,Important,Very important,Important,Very important,Important,Very important,Slightly,Slightly,Moderately,Yes,Yes,Yes,Yes,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,,,,,,,,Very important,Important,Very important,Moderately,Not at all,,,,,,,,,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Always,Often,Sometimes,Sometimes,Rarely,Often,Never,Always,Sometimes,Often,Rarely,Always,Always,Often,Pay enough,Little amount,Little amount,Little amount,Little amount,All items,All items,Very important,Important,Important,Slightly,Moderately,Not at all,7,5,6,6
10,5,15,10,10,Male,23,2,Postsecondary education,15000€-30000€,Campania,Slightly,Moderately,Moderately,Important,Moderately,Slightly,Important,Moderately,Moderately,Slightly,Slightly,Moderately,Yes,Yes,Yes,Yes,Rarely,Never,Rarely,Rarely,Never,Sometimes,,,,,,,,Moderately,Slightly,Moderately,Moderately,Slightly,,,,,,,,,Undecided,Undecided,Disagree,Agree,Undecided,Always,Sometimes,Sometimes,Often,Rarely,Sometimes,Rarely,Always,Rarely,Sometimes,Sometimes,Often,Often,Sometimes,Nothing,Pay enough,Little amount,Little amount,Pay enough,All items,Production,Moderately,Moderately,Moderately,Moderately,Important,Not at all,8,7,6,8
7,2,10,8,8,Female,32,4,Postsecondary education,15000€-30000€,Abruzzo,Slightly,Important,Important,Very important,Very important,Important,Very important,Very important,Very important,Moderately,Moderately,Important,Yes,Yes,Yes,Yes,Rarely,Never,Never,Always,Always,Always,,,,,,,,Important,Slightly,Very important,Very important,Slightly,,,,,,,,,Agree,Disagree,Agree,Strongly agree,Strongly agree,Always,Always,Often,Often,Never,Often,Never,Always,Rarely,Always,Rarely,Always,Always,Often,Little amount,Little amount,Little amount,Little amount,Little amount,Environment,All items,Slightly,Important,Very important,Important,Very important,Slightly,8,8,8,8
5,2,5,3,5,Female,31,3,PhD,30000€-45000€,Lombardia,Not at all,Important,Important,Very important,Very important,Moderately,Important,Moderately,Important,Not at all,Not at all,Slightly,Yes,Yes,Yes,No,Rarely,Never,Never,,,,,,,,,,,,,,,,Slightly,Slightly,Important,Moderately,Moderately,Not at all,Not at all,Not at all,Undecided,Disagree,Undecided,Agree,Agree,Always,Sometimes,Rarely,Rarely,Rarely,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Never,Never,Sometimes,Rarely,Little amount,Little amount,Little amount,Pay enough,Pay enough,All items,Production,Important,Important,Important,Important,Moderately,Not at all,6,7,8,9
7,4,12,11,12,Female,25,4,Postsecondary education,30000€-45000€,Sicilia,Important,Moderately,Slightly,Important,Very important,Moderately,Very important,Moderately,Important,Moderately,Moderately,Slightly,Yes,Yes,No,Yes,,,,Sometimes,Rarely,Sometimes,Slightly,Moderately,Important,Important,Very important,Important,Slightly,Moderately,Slightly,Important,Important,Not at all,,,,,,,,,Agree,Undecided,Agree,Strongly agree,Agree,Always,Often,Often,Sometimes,Rarely,Sometimes,Rarely,Often,Never,Often,Often,Sometimes,Sometimes,Sometimes,Little amount,Large amount,Pay enough,Pay enough,Large amount,Environment,All items,,,,,,,8,6,7,9
10,2,15,10,15,Male,23,4,Secondary school,30000€-45000€,Toscana,Moderately,Slightly,Important,Important,Important,Important,Important,Moderately,Important,Not at all,Not at all,Moderately,No,Yes,No,Yes,,,,Rarely,Rarely,Sometimes,Slightly,Moderately,Slightly,Important,Moderately,Important,Important,Slightly,Slightly,Moderately,Slightly,Moderately,,,,,,,,,Undecided,Disagree,Undecided,Disagree,Disagree,Sometimes,Often,Rarely,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Little amount,Pay enough,Pay enough,Little amount,Little amount,Environment,Design,,,,,,,3,5,4,4
15,6,15,10,15,Male,27,3,Secondary school,0-15000€,Campania,Slightly,Important,Important,Important,Important,Important,Moderately,Moderately,Important,Moderately,Moderately,Moderately,Yes,Yes,No,Yes,,,,Sometimes,Rarely,Sometimes,Moderately,Slightly,Important,Moderately,Important,Important,Moderately,Moderately,Slightly,Moderately,Important,Not at all,,,,,,,,,Agree,Agree,Undecided,Undecided,Strongly agree,Always,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Little amount,Little amount,Little amount,Pay enough,Pay enough,Economy,Selling,,,,,,,5,5,6,6
12,5,15,8,10,Female,67,3,Postsecondary education,30000€-45000€,Sardegna,Moderately,Important,Important,Important,Important,Important,Important,Important,Important,Moderately,Moderately,Moderately,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,,,,,,,,Important,Moderately,Moderately,Moderately,Moderately,,,,,,,,,Agree,Undecided,Undecided,Agree,Agree,Always,Sometimes,Sometimes,Sometimes,Sometimes,Often,Rarely,Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Pay enough,Pay enough,Pay enough,Little amount,Pay enough,Economy,All items,Important,Moderately,Important,Moderately,Moderately,Important,6,6,5,5
3,0,3,3,3,Male,30,3,Middle school,15000€-30000€,Sardegna,Moderately,Important,Very important,Very important,Important,Moderately,Very important,Moderately,Very important,Slightly,Slightly,Slightly,Yes,Yes,Yes,Yes,Rarely,Never,Never,Sometimes,Rarely,Sometimes,,,,,,,,Important,Very important,Very important,Slightly,Slightly,,,,,,,,,Agree,Undecided,Agree,Agree,Agree,Always,Never,Never,Never,Never,Always,Never,Often,Rarely,Never,Never,Always,Often,Rarely,Nothing,Nothing,Nothing,Nothing,Nothing,Environment,Production,Important,Important,Very important,Moderately,Slightly,Not at all,9,7,8,9
5,2,7,6,7,Female,32,3,Postsecondary education,0-15000€,Sardegna,Moderately,Important,Very important,Very important,Very important,Moderately,Moderately,Important,Important,Moderately,Slightly,Important,Yes,Yes,Yes,Yes,Often,Rarely,Rarely,Sometimes,Sometimes,Sometimes,,,,,,,,Moderately,Slightly,Moderately,Very important,Not at all,,,,,,,,,Agree,Disagree,Agree,Agree,Undecided,Always,Rarely,Rarely,Always,Rarely,Always,Often,Always,Sometimes,Sometimes,Sometimes,Always,Sometimes,Sometimes,Pay enough,Pay enough,Pay enough,Pay enough,Pay enough,Environment,All items,Important,Slightly,Important,Moderately,Moderately,Not at all,9,8,8,8
10,5,10,10,10,Male,56,3,Secondary school,0-15000€,Emilia Romagna,Moderately,Important,Important,Very important,Very important,Very important,Very important,Important,Very important,Slightly,Slightly,Moderately,Yes,Yes,Yes,Yes,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,,,,,,,,Slightly,Not at all,Moderately,Slightly,Not at all,,,,,,,,,Agree,Disagree,Agree,Agree,Disagree,Always,Rarely,Rarely,Sometimes,Rarely,Rarely,Never,Sometimes,Sometimes,Rarely,Rarely,Often,Often,Rarely,Little amount,Little amount,Little amount,Pay enough,Pay enough,All items,All items,Slightly,Moderately,Moderately,Slightly,Slightly,Not at all,6,4,6,6
10,3,10,10,10,Male,56,2,Postsecondary education,0-15000€,Lazio,Slightly,Very important,Important,Very important,Very important,Very important,Important,Important,Very important,Moderately,Slightly,Important,Yes,Yes,Yes,Yes,Rarely,Never,Never,Never,Never,Sometimes,,,,,,,,Slightly,Not at all,Important,Important,Not at all,,,,,,,,,Agree,Undecided,Agree,Agree,Strongly agree,Always,Rarely,Sometimes,Sometimes,Often,Rarely,Never,Often,Rarely,Rarely,Never,Always,Sometimes,Sometimes,Little amount,Little amount,Little amount,Pay enough,Pay enough,Environment,All items,Slightly,Very important,Slightly,Slightly,Slightly,Not at all,8,7,9,9
15,10,25,15,15,Male,22,5,Postsecondary education,45000€-60000€,Campania,Moderately,Important,Important,Important,Important,Very important,Important,Important,Important,Moderately,Moderately,Important,Yes,Yes,No,Yes,,,,Often,Often,Often,Moderately,Moderately,Important,Important,Very important,Important,Important,Important,Important,Important,Moderately,Moderately,,,,,,,,,Agree,Agree,Undecided,Undecided,Agree,Often,Often,Often,Sometimes,Sometimes,Sometimes,Always,Always,Never,Sometimes,Sometimes,Often,Always,Often,Pay enough,Pay enough,Pay enough,Pay enough,Pay enough,Environment,Production,,,,,,,7,6,6,9
9,2,9,9,9,Male,40,3,Postsecondary education,Preferisco non rispondere,Piemonte,Very important,Important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Moderately,Moderately,Moderately,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,,,,,,,Moderately,Moderately,Moderately,Moderately,Moderately,,,,,,,,,Undecided,Disagree,Agree,Undecided,Disagree,Always,Always,Sometimes,Sometimes,Often,Often,Often,Often,Sometimes,Always,Often,Always,Always,Always,Little amount,Little amount,Little amount,Little amount,Little amount,All items,Production,Important,Slightly,Important,Moderately,Slightly,Not at all,5,5,3,3
5,2,6,3,6,Male,51,1,Postsecondary education,0-15000€,Lazio,Slightly,Important,Very important,Very important,Very important,Very important,Very important,Moderately,Important,Moderately,Moderately,Important,Yes,Yes,No,Yes,,,,Always,Always,Always,Slightly,Moderately,Slightly,Moderately,Important,Important,Slightly,Moderately,Moderately,Important,Important,Not at all,,,,,,,,,Agree,Disagree,Agree,Strongly agree,Agree,Always,Always,Often,Always,Always,Always,Sometimes,Often,Never,Often,Sometimes,Often,Always,Often,Little amount,Little amount,Little amount,Little amount,Little amount,Society,Production,,,,,,,9,9,8,9
5,3,7,7,8,Female,25,4,Postsecondary education,0-15000€,Campania,Moderately,Moderately,Important,Important,Important,Slightly,Important,Important,Important,Moderately,Slightly,Moderately,Yes,Yes,Yes,Yes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,,,,,,,,Slightly,Slightly,Moderately,Moderately,Slightly,,,,,,,,,Undecided,Agree,Agree,Strongly agree,Agree,Always,Sometimes,Often,Often,Sometimes,Often,Rarely,Often,Sometimes,Sometimes,Never,Always,Sometimes,Rarely,Little amount,Pay enough,Pay enough,Pay enough,Large amount,All items,All items,Moderately,Moderately,Moderately,Moderately,Moderately,Slightly,7,7,7,8
15,9,15,15,15,Female,17,3,Middle school,Preferisco non rispondere,Piemonte,Moderately,Important,Very important,Very important,Important,Moderately,Important,Important,Important,Not at all,Not at all,Slightly,Yes,Yes,Yes,Yes,Sometimes,Never,Never,Sometimes,Rarely,Sometimes,,,,,,,,Slightly,Slightly,Important,Moderately,Not at all,,,,,,,,,Strongly agree,Disagree,Agree,Undecided,Strongly agree,Often,Rarely,Rarely,Rarely,Often,Rarely,Never,Sometimes,Rarely,Rarely,Never,Always,Often,Rarely,Pay enough,Little amount,Pay enough,Little amount,Pay enough,All items,Production,Slightly,Moderately,Important,Important,Moderately,Not at all,10,8,6,8
10,5,25,15,15,Female,24,6,Secondary school,Preferisco non rispondere,Veneto,Important,Very important,Important,Important,Moderately,Moderately,Important,Very important,Very important,Important,Important,Important,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,,,,,,,Slightly,Moderately,Moderately,Moderately,Slightly,,,,,,,,,Agree,Agree,Agree,Agree,Agree,Sometimes,Always,Often,Often,Often,Often,Sometimes,Sometimes,Sometimes,Often,Often,Often,Often,Often,Large amount,Large amount,Pay enough,Pay enough,Pay enough,Environment,All items,Slightly,Very important,Very important,Moderately,Moderately,Moderately,10,8,9,9
8,4,10,10,10,Male,31,4,PhD,15000€-30000€,Sardegna,Moderately,Very important,Very important,Very important,Important,Important,Important,Important,Very important,Not at all,Not at all,Slightly,Yes,No,Yes,No,Often,Never,Often,,,,,,,,,,,,,,,,Moderately,Important,Very important,Slightly,Important,Important,Important,Moderately,Undecided,Undecided,Disagree,Agree,Agree,Always,Always,Always,Always,Always,Always,Never,Always,Often,Sometimes,Never,Always,Never,Never,Pay enough,Pay enough,Pay enough,Pay enough,Pay enough,Environment,Production,Very important,Important,Important,Slightly,Important,Not at all,9,1,6,6
10,4,12,12,12,Female,27,4,Postsecondary education,0-15000€,Toscana,Moderately,Very important,Very important,Very important,Very important,Important,Important,Important,Very important,Slightly,Slightly,Moderately,Yes,Yes,Yes,Yes,Often,Never,Sometimes,Sometimes,Never,Sometimes,,,,,,,,Important,Important,Important,Slightly,Not at all,,,,,,,,,Undecided,Disagree,Disagree,Agree,Agree,Always,Always,Often,Often,Often,Always,Rarely,Always,Often,Often,Never,Always,Sometimes,Rarely,Pay enough,Pay enough,Pay enough,Pay enough,Pay enough,Environment,Production,Very important,Important,Very important,Moderately,Moderately,Not at all,9,1,7,7
5,1,8,3,5,Male,28,1,Secondary school,15000€-30000€,Lazio,Not at all,Important,Very important,Very important,Very important,Moderately,Moderately,Moderately,Important,Not at all,Not at all,Not at all,Yes,No,No,No,,,,,,,Important,Slightly,Important,Not at all,Very important,Important,Slightly,,,,,,Moderately,Important,Important,Not at all,Slightly,Not at all,Not at all,Slightly,Undecided,Undecided,Undecided,Strongly disagree,Strongly agree,Always,Often,Never,Rarely,Rarely,Sometimes,Never,Sometimes,Never,Rarely,Rarely,Always,Rarely,Never,Pay enough,Pay enough,Little amount,Nothing,Little amount,Environment,Production,,,,,,,6,7,3,10
5,3,5,5,6,Male,32,2,Secondary school,15000€-30000€,Marche,Not at all,Moderately,Very important,Very important,Very important,Moderately,Very important,Very important,Very important,Not at all,Slightly,Moderately,Yes,No,No,No,,,,,,,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,,,,,,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Undecided,Undecided,Undecided,Undecided,Undecided,Always,Never,Rarely,Sometimes,Never,Rarely,Never,Often,Never,Sometimes,Never,Never,Never,Never,Nothing,Nothing,Nothing,Large amount,Nothing,Society,All items,,,,,,,6,8,9,10
10,5,12,10,10,Female,32,4,Postsecondary education,30000€-45000€,Sicilia,Important,Important,Important,Important,Very important,Important,Very important,Important,Important,Very important,Very important,Very important,Yes,Yes,Yes,Yes,Always,Rarely,Sometimes,Rarely,Rarely,Often,,,,,,,,Important,Important,Very important,Very important,Important,,,,,,,,,Strongly agree,Undecided,Strongly agree,Strongly agree,Strongly agree,Always,Always,Always,Always,Sometimes,Always,Often,Always,Always,Always,Often,Often,Always,Always,Pay enough,Pay enough,Pay enough,Large amount,Large amount,All items,Production,Important,Very important,Very important,Important,Very important,Important,10,2,5,6
10,5,10,10,11,Female,57,2,Postsecondary education,30000€-45000€,Lombardia,Slightly,Moderately,Moderately,Important,Very important,Very important,Very important,Important,Important,Slightly,Slightly,Moderately,Yes,Yes,Yes,Yes,Sometimes,Never,Sometimes,Rarely,Rarely,Sometimes,,,,,,,,Moderately,Slightly,Important,Important,Not at all,,,,,,,,,Agree,Undecided,Undecided,Agree,Strongly agree,Always,Often,Rarely,Often,Sometimes,Sometimes,Rarely,Often,Rarely,Sometimes,Rarely,Often,Often,Often,Little amount,Pay enough,Little amount,Pay enough,Large amount,Environment,All items,Moderately,Slightly,Moderately,Moderately,Important,Not at all,8,8,5,6
5,2,5,3,5,Male,35,4,Secondary school,0-15000€,Marche,Not at all,Important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Not at all,Not at all,Important,Yes,No,Yes,No,Rarely,Never,Never,,,,,,,,,,,,,,,,Not at all,Very important,Moderately,Moderately,Moderately,Very important,Not at all,Very important,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Always,Sometimes,Rarely,Rarely,Never,Never,Never,Sometimes,Rarely,Rarely,Never,Always,Never,Never,Little amount,Little amount,Little amount,Little amount,Little amount,All items,All items,Very important,Very important,Very important,Important,Moderately,Not at all,10,10,10,10
15,5,20,15,15,Female,39,4,Postsecondary education,15000€-30000€,Abruzzo,Slightly,Important,Very important,Very important,Important,Important,Moderately,Moderately,Moderately,Slightly,Not at all,Moderately,Yes,Yes,Yes,Yes,Sometimes,Never,Sometimes,Often,Often,Often,,,,,,,,Moderately,Very important,Very important,Important,Not at all,,,,,,,,,Strongly agree,Undecided,Agree,Strongly agree,Strongly agree,Always,Often,Sometimes,Sometimes,Rarely,Often,Often,Always,Often,Sometimes,Sometimes,Often,Often,Often,Pay enough,Pay enough,Pay enough,Pay enough,Pay enough,Environment,Production,Moderately,Important,Moderately,Important,Important,Not at all,6,8,8,9
